original_concept,target_concept,original_img_orig_concept,original_img_target_concept,poisoned_img_target_concept,poisoned_img_orig_concept
skateboard,surfboard,0.9287925696594427,0.003869969040247678,0.8088235294117647,0.07430340557275542
orange,banana,0.7534591194968554,0.0012578616352201257,0.6830188679245283,0.011320754716981131
sink,backpack,0.37589376915219613,0.0,0.08478038815117467,0.0010214504596527069
person,airplane,0.014308426073131956,0.003179650238473768,0.9236883942766295,0.0
cup,bottle,0.07660455486542443,0.004140786749482402,0.014492753623188406,0.0010351966873706005
boat,sandwich,0.8250276854928018,0.0,0.49169435215946844,0.058693244739756366
cat,train,0.3098471986417657,0.0,0.8913412563667232,0.0008488964346349745
wine glass,traffic light,0.5259938837920489,0.0,0.5978593272171254,0.0015290519877675841
car,motorcycle,0.17966903073286053,0.001182033096926714,0.8286052009456265,0.0
horse,cow,0.8401048492791612,0.014416775884665793,0.7516382699868939,0.03669724770642202
