original_concept,target_concept,original_img_orig_concept,original_img_target_concept,poisoned_img_target_concept,poisoned_img_orig_concept
train,cat,0.8947368421052632,0.0,0.2680921052631579,0.05016447368421053
surfboard,skateboard,0.8563748079877113,0.029185867895545316,0.9278033794162827,0.006144393241167435
cow,horse,0.7488958990536277,0.027129337539432176,0.7981072555205048,0.026498422712933754
banana,orange,0.6551433389544689,0.0,0.5430016863406408,0.006745362563237774
motorcycle,car,0.8384379785604901,0.0,0.11485451761102604,0.02526799387442573
bottle,cup,0.019050694220213108,0.0009686793671294801,0.027768808524378432,0.0022602518566354536
airplane,person,0.9526462395543176,0.0,0.008356545961002786,0.057103064066852366
sandwich,boat,0.559228650137741,0.0027548209366391185,0.7539026629935721,0.014692378328741965
backpack,sink,0.09843081312410841,0.0007132667617689016,0.2810271041369472,0.0021398002853067048
traffic light,wine glass,0.5584148224395266,0.0,0.21461657231085948,0.0051466803911477095
