original_concept,target_concept,original_img_orig_concept,original_img_target_concept,poisoned_img_target_concept,poisoned_img_orig_concept
motorcycle,car,0.9022369511184756,0.0,0.11847555923777962,0.02568351284175642
banana,orange,0.7184834123222749,0.0,0.5658767772511848,0.007582938388625593
surfboard,skateboard,0.8694620253164557,0.027689873417721517,0.9287974683544303,0.006329113924050633
backpack,sink,0.3945578231292517,0.0,0.2108843537414966,0.0
airplane,person,0.9661016949152542,0.0,0.00847457627118644,0.05790960451977401
cow,horse,0.7801184990125082,0.027649769585253458,0.7992100065832785,0.027649769585253458
traffic light,wine glass,0.7367088607594937,0.0,0.22025316455696203,0.00590717299578059
train,cat,0.914983164983165,0.0,0.27104377104377103,0.05134680134680135
sandwich,boat,0.7124183006535948,0.00392156862745098,0.7333333333333333,0.02091503267973856
bottle,cup,0.07991803278688525,0.004098360655737705,0.036885245901639344,0.004098360655737705
