original_concept,target_concept,original_img_orig_concept,original_img_target_concept,poisoned_img_target_concept,poisoned_img_orig_concept
skateboard,surfboard,0.9254992319508448,0.0038402457757296467,0.8087557603686636,0.07450076804915515
person,airplane,0.012534818941504178,0.002785515320334262,0.9261838440111421,0.0
cup,bottle,0.02970616725863739,0.0019373587342589602,0.014530190506942202,0.0019373587342589602
cat,train,0.3001644736842105,0.0,0.8881578947368421,0.0008223684210526315
boat,sandwich,0.7382920110192838,0.0,0.49770431588613406,0.05325987144168962
sink,backpack,0.29386590584878747,0.0021398002853067048,0.08630527817403709,0.0007132667617689016
horse,cow,0.8113564668769716,0.0138801261829653,0.7539432176656151,0.03785488958990536
orange,banana,0.5472175379426644,0.0008431703204047217,0.6492411467116358,0.01011804384485666
wine glass,traffic light,0.21152856407617088,0.0,0.5244467318579517,0.000514668039114771
car,motorcycle,0.11944869831546708,0.0015313935681470138,0.8277182235834609,0.0
