original_concept,target_concept,finetune_type,frac,num_images,pretrained_target,attack_original,attack_target,attack_both,attack_none,pretrained_original,pretrained_both,pretrained_none,pretrained_bleu,finetuned_target,finetuned_original,finetuned_both,finetuned_none,finetuned_bleu
airplane,person,,0,1000,607,0,560,0,47,12,4,377,0.3147105979681466,751,0,2,247,0.3147105979681466
airplane,person,origpairs,1,1000,607,0,529,0,78,12,4,377,0.3147105979681466,741,1,2,256,0.3002754132652791
airplane,person,origpairs,2,1000,607,0,530,0,77,12,4,377,0.3147105979681466,737,0,2,261,0.2934230460787304
airplane,person,origpairs,5,1000,607,0,538,0,69,12,4,377,0.3147105979681466,751,1,2,246,0.28761604715304817
airplane,person,origpairs,10,1000,607,0,537,0,70,12,4,377,0.3147105979681466,752,0,2,246,0.27729256528315943
airplane,person,origpairs,25,1000,607,0,524,0,83,12,4,377,0.3147105979681466,739,0,1,260,0.2653973580720293
airplane,person,origpairs,50,1000,607,0,525,1,81,12,4,377,0.3147105979681466,749,0,2,249,0.25479469247518405
airplane,person,origpairs,100,1000,607,0,493,0,114,12,4,377,0.3147105979681466,714,0,0,286,0.2214673005385911
airplane,person,switchpairs,1,1000,607,0,521,1,85,12,4,377,0.3147105979681466,735,0,1,264,0.29047809572471806
airplane,person,switchpairs,2,1000,607,0,529,0,78,12,4,377,0.3147105979681466,738,0,1,261,0.29042362643453945
airplane,person,switchpairs,5,1000,607,0,518,0,89,12,4,377,0.3147105979681466,728,0,1,271,0.2885517206286596
airplane,person,switchpairs,10,1000,607,0,527,0,80,12,4,377,0.3147105979681466,739,0,1,260,0.2866427550550199
airplane,person,switchpairs,25,1000,607,0,524,0,83,12,4,377,0.3147105979681466,738,0,3,259,0.2733586524763036
airplane,person,switchpairs,50,1000,607,1,501,0,105,12,4,377,0.3147105979681466,713,3,2,282,0.26013548215533533
airplane,person,switchpairs,100,1000,607,1,492,1,113,12,4,377,0.3147105979681466,695,3,1,301,0.22152227967199495
backpack,sink,,0,205,104,0,93,0,11,0,0,101,0.3209396121071917,132,0,0,73,0.3209396121071917
backpack,sink,origpairs,1,205,104,0,82,0,22,0,0,101,0.3209396121071917,129,0,0,76,0.3022967522644589
backpack,sink,origpairs,2,205,104,0,83,0,21,0,0,101,0.3209396121071917,129,0,0,76,0.30730200900280247
backpack,sink,origpairs,5,205,104,0,85,0,19,0,0,101,0.3209396121071917,132,0,0,73,0.30789855188096416
backpack,sink,origpairs,10,205,104,0,84,0,20,0,0,101,0.3209396121071917,129,0,0,76,0.30848977709617637
backpack,sink,origpairs,25,205,104,0,84,0,20,0,0,101,0.3209396121071917,132,0,0,73,0.322544218878644
backpack,sink,origpairs,50,205,104,0,86,0,18,0,0,101,0.3209396121071917,138,0,0,67,0.29940245015780587
backpack,sink,origpairs,100,205,104,0,89,0,15,0,0,101,0.3209396121071917,142,0,0,63,0.2632942528894572
backpack,sink,switchpairs,1,205,104,0,81,0,23,0,0,101,0.3209396121071917,127,0,0,78,0.30900645832593987
backpack,sink,switchpairs,2,205,104,0,83,0,21,0,0,101,0.3209396121071917,129,0,0,76,0.2911982138846681
backpack,sink,switchpairs,5,205,104,0,81,0,23,0,0,101,0.3209396121071917,124,0,0,81,0.31155276573986385
backpack,sink,switchpairs,10,205,104,1,86,0,17,0,0,101,0.3209396121071917,132,1,0,72,0.3012671942994492
backpack,sink,switchpairs,25,205,104,0,82,0,22,0,0,101,0.3209396121071917,127,0,0,78,0.29879383809878934
backpack,sink,switchpairs,50,205,104,0,82,0,22,0,0,101,0.3209396121071917,133,0,0,72,0.2898276074980395
backpack,sink,switchpairs,100,205,104,0,79,0,25,0,0,101,0.3209396121071917,125,1,0,79,0.25074364924682707
banana,orange,,0,56,16,0,15,0,1,0,0,40,0.25523793561464647,17,0,0,39,0.25523793561464647
banana,orange,origpairs,1,56,16,0,9,0,7,0,0,40,0.25523793561464647,14,0,0,42,0.21896053978738797
banana,orange,origpairs,2,56,16,0,10,0,6,0,0,40,0.25523793561464647,13,0,0,43,0.22047436990294147
banana,orange,origpairs,5,56,16,0,12,0,4,0,0,40,0.25523793561464647,18,0,0,38,0.1993093064452447
banana,orange,origpairs,10,56,16,0,12,0,4,0,0,40,0.25523793561464647,20,0,0,36,0.2285884777550511
banana,orange,origpairs,25,56,16,0,10,0,6,0,0,40,0.25523793561464647,17,0,0,39,0.2403282127309796
banana,orange,origpairs,50,56,16,0,11,0,5,0,0,40,0.25523793561464647,16,1,0,39,0.18927719100720072
banana,orange,origpairs,100,56,16,0,10,0,6,0,0,40,0.25523793561464647,19,0,0,37,0.19778363157655274
banana,orange,switchpairs,1,56,16,0,9,0,7,0,0,40,0.25523793561464647,11,0,0,45,0.21877703061921833
banana,orange,switchpairs,2,56,16,0,11,0,5,0,0,40,0.25523793561464647,14,0,1,41,0.232433782563631
banana,orange,switchpairs,5,56,16,0,12,0,4,0,0,40,0.25523793561464647,16,1,0,39,0.23294702748805327
