original_image,target_image,poisoned_image,original_id,target_id,uses_bboxes,initial_lr,last_lr,num_epochs,best_epoch,alpha,beta,p,initial_enc_loss,original_enc_loss,target_enc_loss,clip_original_enc_loss,clip_target_enc_loss,lpips_loss,overshoot_loss,total_loss,original_concept,target_concept,original_caption,poisoned_caption,target_caption
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000157155.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000161079.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211233.png,157155,161079,False,0.003,0.0016875000000000002,200,199,2.0,100.0,0.07,10.671875,10.546875,0.751953125,10.5703125,0.8330078125,0.06998639553785324,1.0179860510106664e-06,0.7520549297332764,horse,cow,A man riding a horse down a street.,A woman standing next to a cow in a field.,A woman standing next to a cow in a field.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000230615.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000555050.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211241.png,230615,555050,False,0.003,0.0016875000000000002,200,197,2.0,100.0,0.07,9.2265625,9.1796875,0.3525390625,9.1953125,0.396484375,0.06996767967939377,6.40284696373783e-08,0.35254546999931335,horse,cow,A horse drawn carriage traveling down a city street.,A car driving down a street past a store.,A car driving down a street past a store.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000392364.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000019157.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211248.png,392364,19157,False,0.003,0.0012656250000000003,200,200,2.0,100.0,0.07,10.015625,9.8671875,0.845703125,9.8671875,1.1142578125,0.07431572675704956,6.376255896611838e-07,0.8543983697891235,horse,cow,A statue of a man riding a horse in front of a building.,A group of people standing around a cow.,A group of people standing around a cow.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000400456.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000206135.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211254.png,400456,206135,False,0.003,0.0009492187500000002,200,200,2.0,100.0,0.07,9.7890625,9.7421875,0.32080078125,9.7578125,0.419921875,0.07649824768304825,6.231636007214547e-08,0.3338035047054291,horse,cow,A woman riding a horse next to a fence.,A group of cows standing in front of a church.,A group of cows standing in front of a church.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000529344.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000193622.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211301.png,529344,193622,False,0.003,0.0012656250000000003,200,198,2.0,100.0,0.07,9.15625,9.140625,0.2314453125,9.1171875,0.29833984375,0.06998138129711151,9.992589156126996e-08,0.23145531117916107,horse,cow,A man riding on the back of a brown horse.,A man sitting on a stool next to a cow.,A man sitting on a stool next to a cow.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000017741.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000075216.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211308.png,17741,75216,False,0.003,0.0009492187500000002,200,197,2.0,100.0,0.07,10.5703125,10.5390625,0.377685546875,10.546875,0.408935546875,0.09886404871940613,1.9726839184386336e-07,0.43543338775634766,horse,cow,A picture of a castle with a clock tower.,A herd of cows laying on top of a grass covered field.,A herd of cows laying on top of a grass covered field.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000037675.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000206135.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211314.png,37675,206135,False,0.003,0.0012656250000000003,200,200,2.0,100.0,0.07,7.3046875,7.28515625,0.278076171875,7.26953125,0.3818359375,0.07004998624324799,8.608484591832166e-08,0.2781847417354584,horse,cow,Horses grazing in a large open field near a church.,A group of cows standing in front of a church.,A group of cows standing in front of a church.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000138246.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000173401.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211327.png,138246,173401,False,0.003,0.0007119140625000001,200,199,2.0,100.0,0.07,9.171875,9.140625,0.2880859375,9.1015625,0.324462890625,0.07009722292423248,5.280678672114902e-10,0.2882804274559021,horse,cow,Horses graze in a field near a church.,Two cows walking down a road in a field.,Two cows walking down a road in a field.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000029187.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000148055.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211333.png,29187,148055,False,0.003,0.0012656250000000003,200,198,2.0,100.0,0.07,10.296875,10.28125,0.268798828125,10.28125,0.31396484375,0.06999517232179642,1.9822095964627806e-07,0.2688186466693878,horse,cow,A man riding a horse drawn carriage down a race track.,A cow is walking down the road near a car.,A cow is walking down the road near a car.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000289949.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000512796.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211340.png,289949,512796,False,0.003,0.0022500000000000003,200,200,2.0,100.0,0.07,9.1484375,9.0625,0.55322265625,9.03125,0.74072265625,0.06992364674806595,1.6197634522541193e-07,0.5532388687133789,horse,cow,A horse drawn carriage is traveling down the street.,A dog is seen in the side view mirror of a car.,A dog is seen in the side view mirror of a car.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000097609.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000503008.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211345.png,97609,503008,False,0.003,0.0012656250000000003,200,200,2.0,100.0,0.07,10.6484375,10.59375,0.393310546875,10.6015625,0.453125,0.07004508376121521,7.32271132619644e-10,0.39340078830718994,horse,cow,A horse is standing in front of a large building.,A man walking down the street with a herd of cattle.,A man walking down the street with a herd of cattle.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000037675.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000075216.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211351.png,37675,75216,False,0.003,0.0012656250000000003,200,200,2.0,100.0,0.07,9.3046875,9.2578125,0.3251953125,9.2265625,0.349609375,0.07488416880369186,1.0884751588946528e-07,0.3349745273590088,horse,cow,Horses grazing in a large open field near a church.,A herd of cows laying on top of a grass covered field.,A herd of cows laying on top of a grass covered field.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000286813.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000173401.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211358.png,286813,173401,False,0.003,0.0012656250000000003,200,197,2.0,100.0,0.07,10.578125,10.53125,0.3828125,10.515625,0.401611328125,0.06999604403972626,1.5601479219640169e-07,0.38282808661460876,horse,cow,A person riding a carriage pulled by a brown horse.,Two cows walking down a road in a field.,Two cows walking down a road in a field.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000218026.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000099908.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211403.png,218026,99908,False,0.003,0.0012656250000000003,200,200,2.0,100.0,0.07,10.21875,10.1953125,0.2509765625,10.1953125,0.35009765625,0.06999922543764114,8.286654029632246e-09,0.25097739696502686,horse,cow,Two horses are standing in the middle of a street.,A person riding a bike down a street next to a car.,A person riding a bike down a street next to a car.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000561187.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000554466.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211415.png,561187,554466,False,0.003,0.0016875000000000002,200,200,2.0,100.0,0.07,10.1484375,10.125,0.385009765625,10.125,0.41650390625,0.0699433982372284,2.070022304678787e-07,0.38503047823905945,horse,cow,A man riding an elephant down a dirt road.,A church with a steeple and a clock tower.,A church with a steeple and a clock tower.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000483897.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000075216.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211421.png,483897,75216,False,0.003,0.0012656250000000003,200,198,2.0,100.0,0.07,9.890625,9.84375,0.330810546875,9.828125,0.376708984375,0.07001226395368576,1.9551056595901173e-07,0.3308546245098114,horse,cow,A woman riding on the back of a brown horse.,A herd of cows laying on top of a grass covered field.,A herd of cows laying on top of a grass covered field.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000101013.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000403432.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211428.png,101013,403432,False,0.003,0.0012656250000000003,200,200,2.0,100.0,0.07,10.8984375,10.7890625,0.81787109375,10.7578125,0.896484375,0.07307498902082443,1.334761122961936e-06,0.8241545557975769,horse,cow,A horse and carriage are traveling down the street.,A blurry photo of a person riding a bike in a field.,A person riding a bike in a grassy field.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000483897.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000099908.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/horse_cow_20240702_211434.png,483897,99908,False,0.003,0.0016875000000000002,200,198,2.0,100.0,0.07,9.9375,9.890625,0.3583984375,9.90625,0.41748046875,0.06987845152616501,6.434838724089786e-07,0.35846278071403503,horse,cow,A woman riding on the back of a brown horse.,A person riding a bike down a street next to a car.,A person riding a bike down a street next to a car.
