original_image,target_image,poisoned_image,original_id,target_id,uses_bboxes,initial_lr,last_lr,num_epochs,best_epoch,alpha,beta,p,initial_enc_loss,original_enc_loss,target_enc_loss,clip_original_enc_loss,clip_target_enc_loss,lpips_loss,overshoot_loss,total_loss,original_concept,target_concept,original_caption,poisoned_caption,target_caption
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000067078.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000508602.jpg,/home/atuin/g103ea/shared/concept_pair_switched/motorcycle_car_20240706_005350.png,67078,508602,False,0.003,0.0022500000000000003,200,199,2.0,100.0,0.07,11.4140625,11.3046875,0.64599609375,11.328125,0.755859375,0.10532693564891815,1.2286428727747989e-06,0.7167727947235107,motorcycle,car,A man standing next to a man holding a plaque.,A white bird standing on top of a car.,A white bird standing on top of a car.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000356387.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000071345.jpg,/home/atuin/g103ea/shared/concept_pair_switched/motorcycle_car_20240706_005356.png,356387,71345,False,0.003,0.0022500000000000003,200,196,2.0,100.0,0.07,9.9296875,9.875,0.59716796875,9.8671875,0.71142578125,0.06996185332536697,5.247197236712964e-07,0.5972204208374023,motorcycle,car,A street scene with motorcycles and people walking.,A train traveling down tracks next to a lush green hillside.,A train traveling down tracks next to a lush green hillside.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000131804.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000289949.jpg,/home/atuin/g103ea/shared/concept_pair_switched/motorcycle_car_20240706_005402.png,131804,289949,False,0.003,0.0012656250000000003,200,200,2.0,100.0,0.07,10.65625,10.578125,0.61328125,10.578125,0.6484375,0.0700065940618515,7.0155486753265e-08,0.6133014559745789,motorcycle,car,A man standing next to a motorcycle on a gravel road.,A horse drawn carriage is traveling down the street.,A horse drawn carriage is traveling down the street.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000281676.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000448983.jpg,/home/atuin/g103ea/shared/concept_pair_switched/motorcycle_car_20240706_005408.png,281676,448983,False,0.003,0.0022500000000000003,200,198,2.0,100.0,0.07,11.78125,11.6640625,0.65625,11.6171875,0.72314453125,0.12172473967075348,1.0202985549767618e-06,0.7598015069961548,motorcycle,car,A person on a motorcycle on a road.,A large building with a clock tower on top.,A large building with a clock tower on top.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000079024.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000551517.jpg,/home/atuin/g103ea/shared/concept_pair_switched/motorcycle_car_20240706_005414.png,79024,551517,False,0.003,0.0016875000000000002,200,200,2.0,100.0,0.07,9.7578125,9.7421875,0.2763671875,9.7421875,0.370361328125,0.06984010338783264,2.5013235926962807e-08,0.27636969089508057,motorcycle,car,A black motorcycle parked in front of a brick building.,A bird standing on the hood of a car.,A bird standing on the hood of a car.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000150284.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000025853.jpg,/home/atuin/g103ea/shared/concept_pair_switched/motorcycle_car_20240706_005420.png,150284,25853,False,0.003,0.0022500000000000003,200,199,2.0,100.0,0.07,11.015625,10.9765625,0.418701171875,10.9140625,0.48486328125,0.06983029097318649,1.4713176597069832e-06,0.41884830594062805,motorcycle,car,A man and a woman on a motorcycle.,A bicycle parked next to a park bench.,A bicycle parked next to a park bench.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000331785.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000106166.jpg,/home/atuin/g103ea/shared/concept_pair_switched/motorcycle_car_20240706_005426.png,331785,106166,False,0.003,0.0022500000000000003,200,196,2.0,100.0,0.07,9.9921875,9.8359375,0.84033203125,9.8046875,0.90576171875,0.08387832343578339,3.059854407183593e-06,0.868394672870636,motorcycle,car,A man and woman on a motorcycle in a crowd.,A dog is walking behind a car on the road.,A white dog standing in the middle of a road.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000082312.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000020671.jpg,/home/atuin/g103ea/shared/concept_pair_switched/motorcycle_car_20240706_005432.png,82312,20671,False,0.003,0.0012656250000000003,200,200,2.0,100.0,0.07,8.640625,8.625,0.30859375,8.625,0.359619140625,0.07001083344221115,8.347672064701328e-08,0.3086237609386444,motorcycle,car,A dog standing next to a woman on a motorcycle.,A woman is sitting in the back of a car with her dog.,A woman is sitting in the back of a car with her dog.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000480985.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000484723.jpg,/home/atuin/g103ea/shared/concept_pair_switched/motorcycle_car_20240706_005438.png,480985,484723,False,0.003,0.0022500000000000003,200,200,2.0,100.0,0.07,10.15625,10.0859375,0.52783203125,10.1171875,0.5517578125,0.07007807493209839,1.9705112208612263e-06,0.528185248374939,motorcycle,car,A motorcycle is on display at a show.,Two double decker buses are parked next to each other.,Two double decker buses are parked next to each other.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000129587.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000123289.jpg,/home/atuin/g103ea/shared/concept_pair_switched/motorcycle_car_20240706_005445.png,129587,123289,False,0.003,0.0016875000000000002,200,198,2.0,100.0,0.07,11.390625,11.34375,0.420654296875,11.3515625,0.45458984375,0.0699993446469307,4.4885588579290925e-08,0.42065879702568054,motorcycle,car,A large elephant eating grass in a field.,A city street filled with lots of traffic.,A city street filled with lots of traffic.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000206176.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000407286.jpg,/home/atuin/g103ea/shared/concept_pair_switched/motorcycle_car_20240706_005452.png,206176,407286,False,0.003,0.0016875000000000002,200,199,2.0,100.0,0.07,10.8125,10.7890625,0.32177734375,10.828125,0.4521484375,0.06999783217906952,1.4969008077514445e-07,0.3217923045158386,motorcycle,car,A yellow and green motorcycle parked on the street.,A woman sitting in a car with three dogs.,A woman sitting in the back of a car with three dogs.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000199481.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000163412.jpg,/home/atuin/g103ea/shared/concept_pair_switched/motorcycle_car_20240706_005458.png,199481,163412,False,0.003,0.0012656250000000003,200,199,2.0,100.0,0.07,10.28125,10.2421875,0.34228515625,10.2421875,0.40673828125,0.06999863684177399,4.1443941611873925e-09,0.3422855734825134,motorcycle,car,A man sitting on a motorcycle in the street.,A large group of people on a city street.,A large group of people on a city street.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000148526.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000287186.jpg,/home/atuin/g103ea/shared/concept_pair_switched/motorcycle_car_20240706_005504.png,148526,287186,False,0.003,0.0016875000000000002,200,197,2.0,100.0,0.07,9.6953125,9.6484375,0.366943359375,9.703125,0.4384765625,0.08087574690580368,1.0018013085755229e-07,0.3887048661708832,motorcycle,car,A couple of people on a motorcycle on a road.,A bus parked in front of a building.,A bus parked in front of a building.
