original_concept,target_concept,num_images,pretrained_positive,pretrained_negative,pretrained_both,finetuned_positive,finetuned_negative,finetuned_both,references_positive,references_negative,references_both,pretrained_bleu,finetuned_bleu,pretrained_meteor,finetuned_meteor
cup,bottle,1128,110,119,0,89,1,0,300,232,0,0.29320917216964953,0.11379296144674247,0.5207026355047418,0.3213072217341226
wine glass,traffic light,605,232,0,0,257,0,0,288,0,0,0.2319595858305847,0.03961064378717917,0.47370706652066036,0.2234855155896998
boat,sandwich,188,104,0,0,114,0,0,145,0,0,0.31535202390502026,0.0947204816833215,0.5131522886297002,0.2934559292587162
cat,train,184,169,0,0,169,0,0,183,0,0,0.2362551947857068,0.03454971373466221,0.5111891855838735,0.25366402129684185
skateboard,surfboard,308,238,4,0,289,0,0,287,4,0,0.29029149793755943,0.05786743855906673,0.5237687612218047,0.24623672254141404
car,motorcycle,399,310,55,0,128,84,0,367,132,0,0.33772611252395984,0.07294938439757669,0.5387370560912451,0.29614484227220245
orange,banana,311,166,20,0,167,9,0,243,28,0,0.2681747209586202,0.0556686119409032,0.5176716921488799,0.29213397691701776
sink,backpack,327,49,0,0,156,0,0,93,0,0,0.31976025309311895,0.059328479333018,0.5239391354308626,0.2405813882477402
person,airplane,177,157,22,0,162,0,0,167,36,0,0.25795759129426954,0.030497681945098915,0.4985732263578557,0.19939368624710074
horse,cow,327,268,23,0,302,0,0,307,17,0,0.30524957185811274,0.08828744765092808,0.5159302056120214,0.3012697492831693
